setting_id,base_spread_rate,patch_effectiveness,intra_zone_degree,cross_zone_out_degree,identity_breach_multiplier,restore_rate_fraction,no_backup_restore_penalty,service_functional_fraction,false_positive_rate,legacy_fraction,isolation_success,detection_delay_steps,isolated_backup_traversal
fine_lhs_000,0.3587287769,0.340350346,3.929379625,1.870501298,1.418995098,0.01978243528,0.3204283688,0.5895528862,0.001783687846,0.1624507677,0.5634819194,34.31082917,0.08205866416
fine_lhs_001,0.1862383258,0.4395314981,4.333022047,2.147529985,1.331594557,0.03947309382,0.310873501,0.7049253589,0.0004949822412,0.1848609252,0.6507559666,15.58159965,0.03903366659
fine_lhs_002,0.07482354547,0.3794760568,2.820675876,1.720974857,1.525002366,0.01071025982,0.2426069691,0.6308537555,0.0007597128962,0.3186103134,0.8810325235,84.05221889,0.007040827841
fine_lhs_003,0.05562273119,0.8263259148,4.482136216,1.192977098,1.75390961,0.0155367614,0.2769255007,0.4788043714,0.0009489844885,0.1757129785,0.8448424551,55.54483407,0.03697226314
fine_lhs_004,0.2888209829,0.6024837324,4.654974493,3.433735843,1.90530941,0.008038557906,0.2031480362,0.6784815837,0.0007782641129,0.05413375887,0.3174190505,93.40279883,0.08877119227
fine_lhs_005,0.07224122523,0.6389562456,2.726521985,3.209856357,1.879798552,0.0189799873,0.1926497314,0.6034372197,0.001248850156,0.2737818797,0.8389522381,81.711332,0.01911099128
fine_lhs_006,0.2286743612,0.7355885342,4.612333354,1.940473322,1.245861502,0.03974255686,0.1731678348,0.6279540515,0.001131682873,0.2775886977,0.5872193538,91.65752667,0.0734173276
fine_lhs_007,0.2772504385,0.3683094074,4.292661673,2.372966842,1.690871417,0.03143761998,0.4292396203,0.5646186515,0.00141992027,0.1260820525,0.3886301327,67.90351455,0.06075680327
fine_lhs_008,0.3076517883,0.7617388596,4.59268419,2.208941289,1.594548441,0.01183463266,0.3768735246,0.6053843175,0.0006885384662,0.08273765075,0.2611570481,78.55840718,0.05344170107
fine_lhs_009,0.1192144466,0.5475282215,2.503720018,2.086512051,1.009078533,0.02984117388,0.1133690696,0.6589115504,0.0006461576775,0.1969498352,0.5358600047,60.50784453,0.01515273946
fine_lhs_010,0.3980151837,0.447313926,4.3913284,3.103033918,1.61918073,0.0216264501,0.1113237421,0.633885536,0.001443238876,0.2654587463,0.7122700523,7.737217911,0.03622237195
fine_lhs_011,0.1686634742,0.4645307634,4.257135041,1.076143149,1.790980867,0.03615593418,0.2846631508,0.4752116863,0.001351037717,0.3366902814,0.8846067369,11.59381803,0.08822187096
fine_lhs_012,0.1833947622,0.649600733,3.252599655,3.776845281,1.940286466,0.003455638083,0.1313126951,0.6375363232,0.0009646913142,0.09166870402,0.7890910637,26.38384136,0.0463060608
fine_lhs_013,0.346210011,0.6059040163,4.753833759,1.383441386,1.556917371,0.0145044012,0.4741363881,0.5623149161,0.001491256523,0.3071504547,0.7810373912,12.33785275,0.04273610676
fine_lhs_014,0.1042437683,0.342497568,2.449289101,1.440247256,1.213920962,0.02480092574,0.4825625265,0.4934758915,4.028267418e-05,0.2102935303,0.3987570607,50.34688921,0.05225486468
fine_lhs_015,0.2798923868,0.9118430794,3.334991903,3.324005258,1.743641024,0.004712158847,0.2694974835,0.5786690585,0.0007877025615,0.1056418413,0.2746374769,20.38262965,0.01125370235
fine_lhs_016,0.4265928203,0.5360569355,2.404415205,3.888704903,1.398485798,0.01793674427,0.3186130489,0.7144071636,0.0001833181888,0.1598776152,0.680660561,24.26775659,0.06498338059
fine_lhs_017,0.06377354549,0.4287960904,4.214349683,2.942282844,1.070173005,0.03731907373,0.136763226,0.4952294129,0.0003075628737,0.3432134767,0.3610537811,9.594667982,0.0955940895
fine_lhs_018,0.3842535403,0.7125504866,2.083495656,2.002740923,1.21935246,0.03580311944,0.138516311,0.7294702323,0.001456175099,0.05469836512,0.7744919042,71.0259287,0.08358719653
